ID_Suivi,ID_Etudiant,ID_Cours,Note,Nombre_Absences,Date_Evaluation
113,4474,84,"7,72",4,2024-06-05
114,124,13,"5,49",3,2022-08-06
115,4362,85,"14,57",3,2024-01-26
116,1408,78,"12,22",1,2023-10-21
117,3398,77,"3,12",2,2023-06-11
118,3824,87,"6,66",3,2023-07-28
119,2762,41,"14,38",3,2022-07-17
120,2797,27,"18,91",3,2023-01-24
121,1384,43,"13,57",0,2024-01-05
122,834,82,"6,01",4,2023-07-29
123,2176,12,"15,47",0,2024-12-30
124,1218,48,"18,52",1,2023-01-10
125,2180,36,"4,24",0,2024-07-12
126,2192,95,"10,91",0,2022-11-07
127,560,91,"11,67",0,2023-10-07
128,157,32,"2,5",2,2022-11-14
129,3644,39,"6,17",0,2024-02-01
130,2242,42,"10,11",4,2024-03-19
131,3173,57,"7,73",4,2023-09-28
132,1132,22,"1,78",0,2022-03-21
133,3756,21,"12,72",2,2022-07-29
134,4607,28,"13,66",3,2022-05-31
135,199,13,"6,74",0,2022-10-27
136,2015,99,"8,08",1,2022-10-20
137,3258,79,"7,26",4,2024-11-22
138,1126,92,"1,44",2,2022-07-13
139,1931,33,"18,09",2,2024-12-24
140,2704,72,"0,69",0,2023-04-11
141,1228,70,"6,84",1,2022-11-09
142,1358,53,"12,94",3,2025-02-16
143,2626,25,"10,82",0,2024-09-30
144,3242,44,"4,25",2,2024-01-10
145,4639,16,"10,01",4,2024-06-12
146,2607,24,"4,55",1,2022-10-12
147,2596,47,"0,98",4,2022-12-14
148,3004,83,"17,26",3,2023-04-01
149,2945,8,"6,16",1,2024-04-22
150,2684,19,"4,37",0,2024-12-31
151,2982,86,"4,02",4,2024-09-08
152,2677,63,"3,69",1,2022-05-19
153,900,58,"4,09",2,2023-12-08
154,2748,14,"15,29",0,2024-06-24
155,625,98,"12,83",0,2024-07-20
156,4573,43,"16,78",1,2022-06-26
157,3841,65,"11,82",2,2024-10-21
158,3017,76,"6,62",1,2022-04-01
159,1652,36,"17,06",4,2023-03-01
160,2646,90,"17,54",4,2023-03-24
161,1623,7,"17,85",4,2023-08-21
162,1115,59,"8,7",4,2025-02-23
163,4728,6,"17,57",0,2024-06-05
164,1390,11,"17,23",3,2024-12-03
165,3822,43,"2,81",0,2023-09-25
166,1396,45,"7,04",2,2022-12-02
167,2540,63,"2,83",2,2023-02-14
168,1121,35,"14,69",1,2022-06-05
169,4904,62,"11,73",0,2025-01-12
170,2986,56,"2,16",3,2023-12-09
171,3977,82,"8,32",0,2022-09-12
172,2891,49,"3,36",2,2022-07-11
173,436,71,"11,35",2,2024-11-20
174,1187,90,"10,55",2,2024-12-01
175,2024,95,"12,69",1,2023-07-09
176,2567,31,"2,98",0,2023-04-09
177,1862,99,"3,6",0,2022-09-03
178,2165,54,"18,15",0,2022-12-02
179,4679,26,"13,37",2,2024-01-06
180,2941,79,"13,73",1,2023-06-06
181,4195,35,"13,27",3,2023-04-21
182,3937,53,"0,79",1,2022-05-22
183,4197,50,"16,5",1,2022-12-09
184,827,31,"9,91",4,2023-08-26
185,1858,1,"12,4",3,2024-10-28
186,4520,67,"6,05",0,2023-09-13
187,4580,51,"4,47",1,2024-04-13
188,435,68,"7,23",0,2022-10-31
189,2215,84,"17,01",0,2023-08-08
190,764,63,"1,85",3,2025-01-11
191,4011,38,"14,53",3,2022-09-26
192,3216,14,"18,25",0,2024-07-17
193,3329,97,"14,24",4,2023-07-18
194,4860,91,"16,33",4,2024-11-11
195,1514,93,"12,14",4,2022-05-29
196,1405,56,"2,1",1,2024-09-10
197,2952,52,"19,36",3,2024-03-26
198,3455,2,"7,44",1,2022-07-03
199,3561,14,"1,28",4,2024-09-08
200,4523,19,"0,38",2,2023-07-10
201,459,20,"14,02",4,2025-01-13
202,4177,42,"16,26",4,2022-08-23
203,2068,62,"14,04",0,2025-02-20
204,4782,88,"0,27",3,2024-10-12
205,3717,37,"12,87",3,2024-09-21
206,3685,73,"12,82",4,2024-12-30
207,2154,39,"4,18",2,2023-08-02
208,4741,28,"0,53",0,2023-10-27
209,58,2,"7,78",2,2023-07-29
210,598,34,"0,24",1,2024-11-30
211,1575,10,"3,77",1,2023-10-04
212,4575,81,"4,42",0,2023-10-19
213,2945,19,"13,96",3,2024-08-03
214,4541,22,"9,81",4,2024-09-08
215,4984,73,"13,07",3,2024-02-09
216,2015,46,"8,51",2,2025-02-28
217,2087,71,"16,03",0,2025-01-06
218,1580,71,"13,62",0,2022-08-29
219,4532,30,"12,63",3,2022-10-23
220,2378,95,"11,93",1,2024-04-04
221,3558,25,"11,14",0,2023-02-17
222,2913,88,"1,04",1,2023-11-06
223,250,46,"7,17",0,2023-09-25
224,2172,85,"2,6",3,2024-12-21
225,3467,44,"15,98",2,2023-01-28
226,696,36,"19,18",1,2024-10-04
227,4521,11,"19,11",3,2023-04-30
228,2205,74,"14,09",0,2022-07-29
229,1457,70,"2,22",0,2023-04-04
230,1804,69,"7,62",3,2024-06-05
231,3203,76,"11,65",1,2022-11-05
232,2814,35,"17,58",1,2023-10-07
233,3403,64,"18,27",2,2022-04-04
234,4757,18,"6,08",0,2022-12-05
235,179,15,"15,14",2,2022-03-28
236,2941,28,"4,54",2,2024-04-11
237,614,95,"7,69",2,2022-05-08
238,1365,59,"14,26",0,2022-11-03
239,2411,47,"13,47",4,2023-10-19
240,1731,83,"8,73",4,2022-12-31
241,2757,75,"2,34",1,2023-07-03
242,1790,47,"17,33",1,2022-08-10
243,466,58,"3,92",1,2024-12-03
244,749,75,"10,15",3,2023-01-02
245,4148,25,"5,07",0,2025-01-04
246,1834,100,"9,76",3,2023-06-24
247,2440,77,"11,9",1,2022-09-28
248,1837,34,"13,51",3,2024-09-11
249,1854,83,"1,6",0,2022-10-18
250,169,49,"8,84",2,2025-01-26
251,2513,9,"13,97",4,2023-12-08
252,4021,84,"14,89",4,2023-09-14
253,2941,24,"16,52",3,2024-07-20
254,4786,23,"8,32",0,2023-03-21
255,4580,63,"7,94",2,2022-08-27
256,1969,76,"15,76",3,2023-11-13
257,1248,80,"6,74",3,2024-04-20
258,4507,81,"9,21",4,2022-12-25
259,3030,90,"18,83",1,2024-03-25
260,1259,45,"8,22",4,2023-09-27
261,4919,7,"2,03",2,2025-01-01
262,504,19,"13,24",3,2022-07-15
263,4681,47,"5,14",1,2024-06-09
264,3384,52,"10,6",1,2022-07-30
265,4527,63,"11,64",1,2025-01-12
266,3839,58,"15,76",4,2024-04-22
267,755,10,"8,6",3,2023-04-18
268,1690,79,"3,41",3,2022-07-31
269,946,99,"1,14",1,2024-09-09
270,2937,49,"2,12",4,2024-08-17
271,1029,40,"6,57",0,2023-01-19
272,896,17,"19,4",4,2022-11-09
273,410,94,"15,39",0,2023-02-04
274,2920,55,"17,25",2,2023-10-23
275,1803,97,"18,21",1,2024-04-15
276,1868,38,"15,8",3,2022-09-01
277,3647,62,"6,19",0,2022-12-14
278,4956,36,"7,32",0,2022-11-11
279,4515,39,"8,71",1,2024-05-11
280,2746,32,"3,09",4,2022-12-07
281,2211,96,"19,69",0,2024-09-27
282,3525,20,"4,56",1,2023-08-08
283,4997,2,"10,04",3,2022-09-15
284,79,71,"5,08",4,2023-02-20
285,270,54,"1,66",4,2023-07-24
286,2743,63,"4,29",0,2024-06-14
287,2958,79,"7,53",4,2023-10-15
288,3335,72,"2,21",3,2023-11-25
289,4132,15,"16,93",4,2022-04-09
290,2441,36,"10,03",3,2024-11-06
291,3686,43,"7,08",1,2024-10-06
292,3726,43,"17,2",3,2024-03-03
293,1747,4,"18,38",2,2024-03-26
294,2653,22,"2,33",2,2024-05-24
295,3144,83,"10,2",2,2022-10-02
296,3150,95,"0,51",3,2024-07-19
297,4346,79,"6,26",1,2022-11-20
298,1582,48,"5,63",3,2022-04-14
299,4796,21,"8,17",0,2025-03-11
300,1678,69,"17,73",3,2024-11-21
301,231,91,"3,08",3,2024-11-08
302,2668,48,"15,2",4,2024-06-23
303,3947,82,"12,67",3,2023-06-04
304,3414,80,"6,08",0,2024-02-01
305,3153,21,"5,92",1,2024-09-10
306,2028,61,"1,41",3,2023-07-31
307,1793,49,"9,36",2,2024-10-27
308,4430,15,"19,98",2,2022-07-18
309,4209,12,"2,25",3,2022-11-27
310,2125,63,"7,4",2,2023-04-19
311,2425,2,"5,35",2,2024-09-04
312,3503,33,"0,56",2,2024-11-02
313,2510,80,"10,48",3,2024-10-21
314,3399,78,"14,21",1,2023-03-27
315,2808,47,"8,08",0,2024-04-01
316,1651,34,"15,51",0,2024-08-24
317,1103,24,"9,98",1,2025-01-16
318,2670,9,"12,71",4,2023-11-17
319,1887,4,"10,39",2,2023-07-19
320,157,82,"6,87",2,2022-07-10
321,4727,79,"1,61",3,2023-11-26
322,2321,74,"2,91",2,2025-02-24
323,4211,18,"16,49",1,2025-02-15
324,2679,79,"2,99",1,2022-10-14
325,1733,54,"3,58",2,2024-04-20
326,1739,90,"12,64",2,2024-07-29
327,1246,65,"14,1",3,2023-02-18
328,1924,15,"0,41",3,2024-05-29
329,446,69,"19,68",1,2023-02-14
330,3677,63,"17,1",0,2023-03-09
331,600,32,"10,76",3,2024-02-01
332,2548,20,"11,29",4,2024-12-08
333,851,25,"0,57",2,2024-03-21
334,225,80,"8,26",1,2023-01-19
335,379,70,"15,31",1,2023-03-24
336,2277,45,"10,72",0,2023-10-07
337,3353,61,"0,72",4,2022-03-22
338,3528,46,"5,79",0,2022-06-02
339,1072,66,"9,09",1,2024-02-07
340,4139,57,"14,98",3,2022-07-06
341,334,1,"14,27",2,2023-03-16
342,1401,30,"9,25",0,2025-02-16
343,1521,76,"16,46",2,2023-01-09
344,853,81,"3,38",2,2023-02-06
345,991,50,"8,25",1,2023-11-27
346,2998,9,"4,54",3,2022-07-11
347,2386,88,"18,26",0,2023-09-05
348,991,2,"13,28",2,2022-10-19
349,2987,93,"4,43",0,2023-06-20
350,943,81,"6,49",1,2022-12-04
351,843,65,"14,79",1,2023-12-16
352,2895,2,"9,91",1,2022-12-17
353,2850,83,"6,93",0,2024-10-09
354,284,42,"18,35",2,2024-05-14
355,1630,76,"16,4",1,2022-07-13
356,345,4,"13,39",2,2022-10-11
357,4176,84,"15,81",0,2023-07-04
358,3183,78,"15,04",1,2022-08-10
359,1311,35,"4,01",3,2023-08-27
360,4993,24,"16,5",3,2024-11-10
361,130,37,"4,62",0,2022-05-27
362,2873,40,"7,44",2,2022-12-01
363,4733,28,"9,94",4,2024-01-07
364,4532,10,"1,96",3,2024-10-10
365,3259,61,"9,5",0,2023-02-11
366,3674,99,"10,16",1,2024-01-29
367,1867,44,"11,69",2,2024-01-15
368,2658,51,"0,87",1,2024-04-21
369,4645,5,"7,26",2,2025-03-14
370,3643,30,"4,46",4,2024-06-12
371,306,84,"5,67",4,2022-08-28
372,4953,95,"9,95",1,2023-04-06
373,3642,28,"6,91",3,2024-06-20
374,4801,27,"16,42",3,2022-05-02
375,105,28,"3,89",3,2024-02-14
376,3307,42,"0,17",3,2024-12-08
377,973,47,"12,43",1,2023-07-10
378,256,78,"6,94",2,2024-12-24
379,4043,5,"14,35",1,2022-11-10
380,3884,80,"0,14",3,2023-05-31
381,2941,4,"15,47",4,2022-10-14
382,4486,21,"9,02",2,2024-11-21
383,2673,50,"0,4",1,2024-05-10
384,2973,3,"15,5",2,2023-08-29
385,2308,54,"5,47",0,2024-07-26
386,3083,78,"17,69",0,2022-09-29
387,2980,94,"14,53",2,2022-05-05
388,2985,22,"3,38",0,2023-11-11
389,1238,79,"6,86",3,2025-01-21
390,3877,56,"10,1",0,2024-11-12
391,2109,33,"16,62",3,2023-03-04
392,1625,63,"11,76",4,2024-09-30
393,267,74,"19,49",3,2025-03-03
394,1447,53,"6,21",0,2024-10-03
395,2370,54,"2,24",4,2022-09-11
396,1244,3,"0,93",0,2022-09-18
397,4878,23,"12,75",4,2022-04-14
398,2703,71,"1,53",1,2022-04-01
399,2069,89,"9,45",4,2023-04-26
400,852,62,"3,27",0,2024-12-10
401,3702,94,"15,7",4,2024-02-24
402,1579,17,"9,88",2,2024-10-11
403,2776,94,"9,55",1,2023-11-14
404,3091,59,5,0,2024-08-12
405,984,69,"16,16",4,2022-12-23
406,2233,75,"7,43",2,2023-07-26
407,4551,11,"17,57",0,2022-03-23
408,3818,54,"11,95",0,2024-01-24
409,843,35,"5,29",0,2022-12-26
410,4523,8,"2,07",4,2024-05-09
411,836,1,"13,5",3,2024-06-18
412,92,13,"10,66",4,2024-01-16
413,1917,4,"12,48",1,2022-09-04
414,98,39,"3,67",0,2025-03-10
415,3288,88,"0,53",3,2022-12-26
416,2142,24,"9,76",4,2024-11-22
417,3358,6,"17,42",4,2024-06-21
418,4979,7,"15,51",1,2022-07-26
419,4401,38,"13,61",0,2024-01-18
420,4244,10,"11,63",1,2023-06-12
421,2447,78,"12,43",2,2023-11-19
422,2500,54,"17,81",2,2024-09-12
423,2962,53,"7,59",4,2025-03-03
424,2405,81,"8,15",2,2022-12-09
425,4205,82,"9,02",2,2024-01-16
426,4114,21,"6,28",3,2022-09-17
427,1378,84,"19,54",3,2024-03-11
428,1804,84,"0,08",1,2023-09-21
429,2756,17,"2,03",1,2022-05-10
430,2477,28,"13,46",0,2024-11-29
431,1353,95,"4,37",2,2024-05-20
432,281,81,"9,99",1,2023-01-27
433,3688,69,"8,97",4,2024-04-29
434,4147,69,"6,17",3,2022-08-13
435,1539,29,"4,09",4,2022-07-11
436,1060,95,"10,4",1,2023-01-11
437,3920,96,"7,45",0,2022-08-18
438,2732,54,"18,68",0,2024-01-05
439,1138,40,"3,84",2,2023-01-25
440,108,52,"10,69",3,2023-08-11
441,4316,3,"11,1",3,2023-10-27
442,3356,7,"18,06",4,2022-07-31
443,3772,69,"10,87",3,2023-01-14
444,4058,51,"12,07",3,2024-03-27
445,2217,26,"12,48",1,2023-06-06
446,1875,55,"1,82",2,2024-05-07
447,4246,67,"1,06",4,2023-09-22
448,1090,79,"14,84",3,2023-09-04
449,1583,52,"12,78",1,2022-07-05
450,731,44,"8,53",0,2024-06-24
451,2578,92,"14,51",0,2023-03-19
452,2006,22,"7,55",4,2024-05-14
453,4996,51,"6,45",4,2022-03-31
454,1922,3,"12,34",4,2023-04-11
455,2395,33,"11,21",1,2022-08-21
456,3157,78,"5,37",3,2023-05-25
457,1926,26,"15,5",3,2023-02-04
458,4124,55,"4,33",3,2023-04-23
459,4169,68,"7,63",4,2023-07-26
460,3624,37,"7,12",1,2024-06-22
461,3799,10,"9,21",2,2023-07-03
462,2387,93,"9,41",3,2024-11-09
463,216,10,"18,41",1,2023-09-25
464,1799,64,"9,45",2,2022-04-04
465,4543,25,"1,36",1,2024-02-25
466,685,29,"15,58",3,2023-06-17
467,4627,39,"0,88",3,2024-04-06
468,4641,99,"2,41",3,2023-04-08
469,3160,36,"13,25",4,2022-06-10
470,3269,62,"3,84",0,2025-02-21
471,4049,86,"10,26",1,2022-04-09
472,3199,94,"10,02",2,2023-12-09
473,1179,54,"2,19",3,2022-12-15
474,2300,64,"12,88",4,2022-12-29
475,2519,40,"7,09",4,2023-12-23
476,1910,37,"18,67",3,2024-04-20
477,4303,24,"14,31",4,2025-03-14
478,2036,53,"11,86",3,2022-12-14
479,2785,51,"4,54",4,2023-04-26
480,2309,65,"15,84",4,2022-05-06
481,4614,30,"15,87",3,2024-06-06
482,4862,71,"14,12",3,2024-11-04
483,3106,57,"8,82",2,2023-08-31
484,1436,1,"7,98",3,2022-12-29
485,511,77,"9,33",0,2025-01-06
486,2276,77,"13,33",4,2024-03-11
487,4895,88,"7,77",1,2024-08-07
488,256,37,"1,46",4,2023-02-23
489,173,22,"2,02",3,2023-05-26
490,2780,10,"14,02",2,2022-04-20
491,2786,70,"3,64",3,2024-06-19
492,4618,43,"7,58",2,2022-05-09
493,2973,32,"4,41",0,2024-05-29
494,2403,88,"9,21",1,2022-07-03
495,872,50,"15,23",3,2024-12-07
496,2590,61,"14,63",1,2024-10-31
497,1851,17,"10,18",2,2022-10-01
498,4359,72,"1,59",0,2023-11-20
499,1092,61,"2,26",4,2025-02-09
500,2776,77,"1,52",2,2025-02-28
501,4943,29,"9,05",1,2023-07-20
502,4198,98,"0,41",2,2024-10-04
503,3523,12,"14,32",0,2024-10-26
504,1926,68,"12,21",3,2023-01-31
505,206,45,"16,56",4,2024-08-24
506,3205,37,"18,84",1,2023-02-16
507,1094,45,"10,9",0,2023-07-26
508,1746,20,"7,11",0,2024-11-22
509,1020,73,"17,55",1,2024-11-11
510,602,65,"6,03",4,2022-11-29
511,4267,69,"6,03",0,2023-05-28
512,659,66,"14,04",3,2024-05-06
513,1441,61,"17,25",3,2025-02-23
514,188,81,"3,39",0,2023-01-19
515,1416,11,"12,28",0,2024-09-29
516,1803,46,"17,91",0,2024-05-10
517,4151,95,"3,63",4,2022-06-18
518,1872,99,"0,09",1,2024-12-09
519,516,42,"4,96",1,2024-06-27
520,989,3,"13,87",4,2024-05-29
521,773,35,"16,22",1,2023-01-05
522,4167,83,"6,55",1,2022-09-23
523,1258,93,"13,77",1,2024-10-25
524,2020,12,"5,51",3,2024-03-15
525,1161,55,"1,96",1,2023-09-19
526,2396,94,"14,52",1,2024-02-11
527,281,26,"14,72",1,2022-08-10
528,365,28,"17,05",3,2024-06-24
529,3153,31,"16,72",4,2023-10-06
530,2376,33,"16,51",4,2023-09-04
531,61,32,"19,83",0,2024-03-08
532,4733,26,"7,96",4,2023-10-04
533,4766,77,"16,11",2,2023-08-27
534,4256,89,"2,3",0,2024-04-17
535,4866,18,"4,21",2,2022-11-11
536,822,67,"11,21",4,2022-11-01
537,1038,66,"2,37",4,2023-09-28
538,3512,1,"14,35",4,2025-03-16
539,756,23,"6,41",4,2024-06-20
540,2177,10,"18,15",4,2024-06-19
541,3437,100,"1,23",4,2024-10-27
542,3577,23,"14,13",1,2023-09-12
543,1745,79,"11,65",3,2023-01-16
544,206,57,"10,43",4,2022-06-01
545,4795,32,"15,2",1,2024-04-29
546,3474,65,"18,59",1,2025-02-15
547,3942,52,"13,84",4,2024-03-28
548,4372,80,"6,37",2,2024-01-21
549,2678,45,"1,54",4,2023-09-05
550,3446,59,"12,95",4,2022-10-07
551,4663,46,"17,72",2,2024-11-10
552,898,58,"14,19",3,2022-05-07
553,3905,79,"3,62",3,2023-02-08
554,3591,67,"7,13",0,2023-05-12
555,2452,5,"2,34",1,2023-11-07
556,731,98,"7,5",4,2023-05-21
557,3741,11,"16,59",2,2022-05-05
558,1165,41,"8,21",0,2023-06-06
559,2731,70,"10,04",3,2025-01-07
560,2737,2,"13,48",1,2022-06-15
561,2235,44,"5,68",1,2024-05-05
562,2752,25,"3,12",3,2024-06-05
563,1026,2,"2,34",3,2024-02-04
564,4359,46,"11,69",1,2022-12-03
565,112,38,"8,8",2,2023-12-10
566,4734,32,"2,3",0,2022-06-13
567,1052,29,"2,21",2,2024-10-04
568,625,43,"10,23",3,2022-07-07
569,3755,88,"16,76",4,2024-03-28
570,3808,34,"5,09",0,2024-12-22
571,945,86,"0,54",1,2025-03-16
572,2336,48,"1,8",4,2024-05-19
573,4510,15,"4,58",0,2022-10-12
574,4694,45,"13,45",4,2024-08-23
575,866,49,"11,34",3,2025-03-02
576,2969,72,"8,99",1,2023-10-18
577,417,60,"13,59",2,2023-12-16
578,1365,11,"14,32",2,2024-09-16
579,4774,19,"7,52",4,2024-04-28
580,3503,53,"19,42",0,2023-12-27
581,1149,51,"19,24",1,2022-12-12
582,790,10,"5,27",2,2022-04-22
583,3112,68,"19,61",4,2022-07-10
584,2856,28,"16,53",2,2022-04-23
585,1956,86,"6,92",1,2024-07-20
586,3323,60,"10,58",1,2024-08-08
587,2915,16,"15,26",3,2022-11-07
588,1714,65,"8,18",3,2023-01-20
589,74,18,"0,08",4,2022-07-15
590,2532,58,"15,25",1,2024-06-11
591,934,12,"9,01",3,2024-12-08
592,4873,35,"8,09",4,2023-12-31
593,4564,54,"18,87",1,2025-03-10
594,3239,87,"1,99",3,2025-01-30
595,2626,25,"0,97",4,2024-10-14
596,2180,12,"4,49",4,2022-07-26
597,634,4,"11,41",2,2022-11-11
598,2338,35,"6,29",4,2023-08-09
599,1277,36,"13,05",0,2022-12-03
600,2059,89,"9,77",4,2024-12-25
601,4917,50,"4,44",3,2023-09-08
602,4498,71,12,4,2023-12-23
603,380,78,"0,89",3,2022-12-16
604,1469,79,"11,78",4,2024-02-05
605,4868,97,"19,94",4,2024-01-29
606,467,28,"15,64",1,2022-05-19
607,2144,3,"19,79",4,2023-02-18
608,4625,60,"1,67",0,2024-10-06
609,1122,35,"6,94",0,2025-03-16
610,3549,86,"13,91",4,2024-11-16
611,1530,12,"16,76",0,2023-08-19
612,3595,27,"8,32",2,2022-08-01
613,2996,74,"13,02",0,2024-12-01
614,888,23,"8,38",0,2025-02-24
615,4249,15,"16,23",3,2022-04-20
616,391,65,"3,53",2,2025-01-06
617,4101,96,"5,03",3,2022-04-08
618,3142,59,"0,1",0,2025-02-05
619,1297,87,"15,47",2,2022-08-31
620,887,26,"2,92",3,2024-05-22
621,353,8,"4,96",4,2022-05-19
622,2863,77,"6,74",3,2024-04-28
623,320,79,"5,16",4,2022-06-07
624,3106,1,"15,15",4,2024-04-17
625,970,71,"19,34",4,2023-03-30
626,1112,25,"19,66",2,2024-11-04
627,3336,8,"4,72",1,2023-08-17
628,473,76,"16,62",1,2024-03-27
629,928,6,"2,68",3,2023-12-15
630,2612,18,"15,23",2,2023-12-08
631,3103,19,"10,24",3,2023-02-16
632,4549,63,"18,92",4,2023-03-03
633,180,68,"11,92",3,2024-08-14
634,163,16,"5,07",3,2022-12-21
635,1000,16,"13,17",4,2024-05-20
636,2700,100,"11,16",0,2022-09-06
637,869,92,"13,08",2,2024-10-24
638,1180,97,"11,4",4,2022-05-28
639,3273,34,"10,09",2,2024-03-31
640,2137,66,"0,09",1,2023-09-09
641,666,2,"10,08",0,2022-10-26
642,3095,23,"14,28",1,2024-11-10
643,4447,76,"13,67",3,2023-11-03
644,3919,16,"8,57",0,2022-09-17
645,3265,29,"2,38",0,2022-11-04
646,3335,12,"10,27",4,2022-07-16
647,732,91,"18,09",3,2025-03-11
648,4561,68,"9,34",0,2023-04-26
649,1986,86,"19,68",1,2022-05-30
650,2760,75,"13,8",2,2024-10-28
651,4056,2,"4,21",4,2023-11-10
652,1642,56,1,4,2024-08-13
653,1147,39,"10,47",0,2024-12-27
654,1423,98,"17,34",1,2022-08-18
655,378,22,"18,98",2,2024-05-22
656,816,79,"1,52",1,2023-06-25
657,1358,22,"10,82",0,2023-02-12
658,4943,25,"16,57",1,2022-07-20
659,3250,41,"11,71",4,2023-06-05
660,932,29,"10,13",3,2022-03-27
661,737,75,"4,3",1,2023-03-27
662,1606,92,"4,83",2,2024-04-27
663,4212,90,"5,37",0,2023-04-01
664,34,38,"8,74",3,2024-06-21
665,3979,20,"3,42",0,2023-06-18
666,259,30,"19,26",0,2025-01-19
667,3480,45,"17,21",1,2023-07-08
668,2135,59,"5,84",3,2024-05-12
669,2803,64,"19,04",1,2024-12-19
